3.71e-03, 9.42e-04, 9.33e-05, 9.26e-06
1.85e-03, 4.69e-04, 3.30e-05, 2.21e-06
9.22e-04, 2.34e-04, 1.14e-05, 5.32e-07
4.60e-04, 1.17e-04, 4.06e-06, 1.28e-07
2.30e-04, 5.83e-05, 1.47e-06, 3.12e-08
1.15e-04, 2.92e-05, 5.18e-07, 7.65e-09
2.66e-02, 1.01e-02, 4.86e-04, 2.90e-04
1.32e-02, 5.05e-03, 1.67e-04, 7.38e-05
6.59e-03, 2.52e-03, 5.18e-05, 1.85e-05
3.29e-03, 1.26e-03, 1.90e-05, 4.61e-06
1.65e-03, 6.28e-04, 6.58e-06, 1.15e-06
8.22e-04, 3.14e-04, 2.28e-06, 2.86e-07
6.15e-03, 3.86e-03, 1.60e-04, 5.94e-05
3.07e-03, 1.93e-03, 3.85e-05, 1.56e-05
1.54e-03, 9.67e-04, 1.08e-05, 4.03e-06
7.68e-04, 4.83e-04, 3.18e-06, 1.04e-06
3.84e-04, 2.42e-04, 9.59e-07, 2.66e-07
1.92e-04, 1.21e-04, 2.99e-07, 6.88e-08
5.41e-03, 1.46e-03, 5.63e-04, 1.49e-04
2.64e-03, 7.05e-04, 2.00e-04, 3.52e-05
1.30e-03, 3.46e-04, 6.99e-05, 7.82e-06
6.41e-04, 1.72e-04, 2.51e-05, 1.68e-06
3.19e-04, 8.55e-05, 8.78e-06, 3.53e-07
1.35e-02, 5.04e-03, 2.34e-03, 9.36e-04
6.24e-03, 2.44e-03, 5.12e-04, 1.72e-04
3.00e-03, 1.20e-03, 1.70e-04, 3.82e-05
1.47e-03, 5.99e-04, 5.42e-05, 9.33e-06
7.30e-04, 2.99e-04, 1.95e-05, 2.29e-06
7.53e-03, 3.26e-03, 3.65e-04, 1.27e-04
3.69e-03, 1.56e-03, 9.95e-05, 2.85e-05
1.83e-03, 7.62e-04, 3.22e-05, 7.50e-06
9.11e-04, 3.77e-04, 1.06e-05, 2.06e-06
4.54e-04, 1.87e-04, 3.54e-06, 5.66e-07
